class,cnn_f1,roberta_f1,f1_difference_roberta_minus_cnn
LIFESTYLE,0.2203491872366044,0.5029490616621984,0.28259987442559403
ARTS_CULTURE,0.3848878394332939,0.6529884032114184,0.26810056377812447
ENVIRONMENT_GREEN,0.4340359094457455,0.6601784266017843,0.22614251715603878
SCIENCE_TECH,0.4189189189189189,0.6328059950041632,0.21388707608524432
CRIME,0.4477611940298507,0.648854961832061,0.20109376780221033
EDUCATION,0.4044526901669759,0.603225806451613,0.19877311628463706
RELIGION,0.4092409240924092,0.6041666666666666,0.19492574257425743
COMEDY_WEIRD,0.3837209302325581,0.5735167669819432,0.1897958367493851
BUSINESS_MONEY,0.4863309352517985,0.6754187415119963,0.18908780626019783
TRAVEL,0.6840171463563993,0.8678996036988111,0.18388245734241182
HOME_LIVING,0.65625,0.8333333333333334,0.17708333333333337
WOMEN,0.2895705521472392,0.4529411764705882,0.16337062432334898
ENTERTAINMENT,0.6148148148148148,0.7700839803517667,0.15526916553695191
SPORTS,0.6432022084195997,0.7903014416775884,0.14709923325798868
PARENTING,0.6619638826185101,0.7972350230414746,0.1352711404229645
IDENTITY_VOICES,0.5639121015165584,0.6936693669366937,0.12975726542013533
FOOD_DRINK,0.7390953150242326,0.868042039704165,0.1289467246799324
HEALTH_WELLNESS,0.7007159904534607,0.8247065101387406,0.12399051968527997
WORLD_NEWS,0.6061313868613138,0.7271692745376956,0.1210378876763818
STYLE_BEAUTY,0.7521834061135371,0.8679562657695542,0.11577285965601714
RELATIONSHIPS,0.788235294117647,0.886801315171442,0.09856602105379497
POLITICS,0.7621431219873934,0.8289584306398879,0.06681530865249452
