loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.23987305049457933,0.2501070499420166,1.6000593031875464e-05,1.0,6745,,,,,,,,,,,,
,,,1.0,6745,0.20281033217906952,0.9385372362605288,0.9383307924092873,0.938343260118995,16.1344,743.196,46.485,,,,,
0.16584239193383987,23.129789352416992,1.2000593031875465e-05,2.0,13490,,,,,,,,,,,,
,,,2.0,13490,0.19809970259666443,0.9454590943207406,0.9454896881384113,0.9455012225321304,16.4578,728.591,45.571,,,,,
0.1259517864795682,12.016860961914062,8.000593031875464e-06,3.0,20235,,,,,,,,,,,,
,,,3.0,20235,0.2111302763223648,0.9477107830873155,0.9476796591268057,0.9476902753090419,16.5324,725.305,45.366,,,,,
0.09411066393219514,0.09025324136018753,4.000593031875464e-06,4.0,26980,,,,,,,,,,,,
,,,4.0,26980,0.236191064119339,0.9502960553748645,0.9503321950767512,0.9503422999189708,16.0483,747.183,46.734,,,,,
0.06608105342064724,0.11416098475456238,5.930318754633062e-10,5.0,33725,,,,,,,,,,,,
,,,5.0,33725,0.2725449502468109,0.9487949295304812,0.9488161089041598,0.9488264080363806,16.7009,717.984,44.908,,,,,
,,,5.0,33725,,,,,,,,2053.6449,262.73,16.422,2.629069576404492e+16,0.13837178925216595
