class_or_average,precision,recall,f1-score,support
ARTS_CULTURE,0.6293436293436293,0.27721088435374147,0.38488783943329397,588.0
BUSINESS_MONEY,0.5492957746478874,0.43631669535283996,0.48633093525179855,1162.0
COMEDY_WEIRD,0.4719904648390942,0.32326530612244897,0.38372093023255816,1225.0
CRIME,0.47770700636942676,0.42134831460674155,0.44776119402985076,534.0
EDUCATION,0.5069767441860465,0.33641975308641975,0.4044526901669759,324.0
ENTERTAINMENT,0.5279151943462898,0.7359605911330049,0.6148148148148148,3045.0
ENVIRONMENT_GREEN,0.41369047619047616,0.45648604269293924,0.4340359094457455,609.0
FOOD_DRINK,0.7555739058629232,0.7233201581027668,0.7390953150242326,1265.0
HEALTH_WELLNESS,0.6265471617584294,0.7948023822414727,0.7007159904534607,3694.0
HOME_LIVING,0.6963350785340314,0.6205287713841369,0.65625,643.0
IDENTITY_VOICES,0.640196767392832,0.5038716814159292,0.5639121015165584,1808.0
LIFESTYLE,0.2545201668984701,0.1942675159235669,0.22034918723660446,942.0
PARENTING,0.7130699088145896,0.617693522906793,0.6619638826185101,1899.0
POLITICS,0.7541735461383232,0.7702829304852914,0.7621431219873934,5337.0
RELATIONSHIPS,0.8212461695607763,0.7577756833176249,0.788235294117647,1061.0
RELIGION,0.5610859728506787,0.3220779220779221,0.40924092409240925,385.0
SCIENCE_TECH,0.5465994962216625,0.3395931142410016,0.4189189189189189,639.0
SPORTS,0.6783114992721979,0.6115485564304461,0.6432022084195997,762.0
STYLE_BEAUTY,0.7345415778251599,0.7706935123042505,0.7521834061135371,1788.0
TRAVEL,0.6268237934904601,0.7526954177897575,0.6840171463563993,1484.0
WOMEN,0.4041095890410959,0.22562141491395793,0.28957055214723926,523.0
WORLD_NEWS,0.5805369127516778,0.6340867440439829,0.6061313868613138,1637.0
accuracy,0.6317854181284684,0.6317854181284684,0.6317854181284684,0.6317854181284684
macro avg,0.5895723107425527,0.5284484961330471,0.5478151704199483,31354.0
weighted avg,0.6288981483075499,0.6317854181284684,0.6225855028258241,31354.0
