class_or_average,precision,recall,f1-score,support
ARTS_CULTURE,0.6866791744840526,0.6224489795918368,0.6529884032114184,588.0
BUSINESS_MONEY,0.7125119388729704,0.6419965576592083,0.6754187415119963,1162.0
COMEDY_WEIRD,0.6058128973660308,0.5444897959183673,0.5735167669819432,1225.0
CRIME,0.6614785992217899,0.6367041198501873,0.648854961832061,534.0
EDUCATION,0.6317567567567568,0.5771604938271605,0.603225806451613,324.0
ENTERTAINMENT,0.7440293937538273,0.7980295566502463,0.7700839803517667,3045.0
ENVIRONMENT_GREEN,0.6522435897435898,0.6683087027914614,0.6601784266017843,609.0
FOOD_DRINK,0.8550613496932515,0.8814229249011858,0.868042039704165,1265.0
HEALTH_WELLNESS,0.8129931614939505,0.8367623172712507,0.8247065101387406,3694.0
HOME_LIVING,0.8195488721804511,0.8475894245723172,0.8333333333333334,643.0
IDENTITY_VOICES,0.7580327868852459,0.6393805309734514,0.6936693669366937,1808.0
LIFESTYLE,0.5081256771397616,0.4978768577494692,0.5029490616621984,942.0
PARENTING,0.7757847533632287,0.8199052132701422,0.7972350230414746,1899.0
POLITICS,0.8265648286140089,0.8313659359190556,0.8289584306398879,5337.0
RELATIONSHIPS,0.8838951310861424,0.8897266729500471,0.886801315171442,1061.0
RELIGION,0.7073170731707317,0.5272727272727272,0.6041666666666666,385.0
SCIENCE_TECH,0.6761565836298933,0.594679186228482,0.6328059950041632,639.0
SPORTS,0.7892670157068062,0.7913385826771654,0.7903014416775884,762.0
STYLE_BEAUTY,0.8701517706576728,0.8657718120805369,0.8679562657695542,1788.0
TRAVEL,0.8510362694300518,0.8854447439353099,0.8678996036988111,1484.0
WOMEN,0.4647887323943662,0.4416826003824092,0.45294117647058824,523.0
WORLD_NEWS,0.6805111821086262,0.7806963958460599,0.7271692745376956,1637.0
accuracy,0.7658990878356828,0.7658990878356828,0.7658990878356828,0.7658990878356828
macro avg,0.7260794335342365,0.7100024605599126,0.7165092086997994,31354.0
weighted avg,0.7641636200953704,0.7658990878356828,0.7639807100205732,31354.0
